IonicLiuid,Cation_SMILES,Anion_SMILES,IL_SMILES,T(K),ST(exp)
[MMIM],CN1C=C[N+](C)=C1,N#C[N-]C#N,CN1C=C[N+](C)=C1.N#C[N-]C#N,298.15,61.6
[MMIM][Glu],CN1C=C[N+](C)=C1,NC(CCC(O)O)C(O)[O-],CN1C=C[N+](C)=C1.NC(CCC(O)O)C(O)[O-],298.15,76.2
[MMIM][MeSO4],CN1C=C[N+](C)=C1,COS([O-])(=O)=O,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,288.15,60.9
[MMIM][MeSO4],CN1C=C[N+](C)=C1,COS([O-])(=O)=O,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,298.15,59.8
[MMIM][MeSO4],CN1C=C[N+](C)=C1,COS([O-])(=O)=O,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,308.15,59.1
[MMIM][MeSO4],CN1C=C[N+](C)=C1,COS([O-])(=O)=O,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,313.15,58.9
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,293.15,47.42
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,298.15,47.09
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,308.15,46.28
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,318.15,44.44
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,328.15,42.58
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,338.15,41.33
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,298.15,52.05
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,308.15,51.65
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,318.15,51.25
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,328.15,50.85
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,338.15,50.45
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,283.16,36.78
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,297.89,36.13
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,308.82,35.61
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,317.77,35.14
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,327.91,34.66
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,337.84,34.06
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,346.93,33.66
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,351.54,33.42
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,298.2,41.3
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,308.1,41
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,318.1,40.5
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,328.4,39.9
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,338.3,39.5
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,344.9,39.3
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,278.15,50.42
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,288.15,49.48
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,298.15,48.79
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,308.15,47.95
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,318.15,47.44
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,328.15,47.01
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,273.31,52.81
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,283.18,51.56
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,293.15,50.72
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,303.54,49.54
